Incident_ID,ORI,Incident_Date_Str,Incident_Time_Str,City,County,State,Zip_Code,Multiple_Locations,On_K12_Campus,Arrest_Made,Crime_Report_Filed,Contact_Reason,In_Custody_Reason,Num_Involved_Civilians,Num_Involved_Officers
URSUS-01-0000-2016-DWQ,CA0010000,7/3/2016,28,Hayward,Alameda County,CA,94544,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-01-0000-2016-FEC,CA0010000,11/20/2016,2233,San Leandro,Alameda County,CA,94578,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-0000-2016-MAJ,CA0010000,5/30/2016,1843,Dublin,Alameda County,CA,94568,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-01-0000-2016-PCD,CA0010000,6/30/2016,2245,Dublin,Alameda County,CA,94568,FALSE,FALSE,TRUE,TRUE,In Custody Event,Booked - Awaiting Trial,1,2
URSUS-01-0000-2016-TMU,CA0010000,5/25/2016,1111,Hayward,Alameda County,CA,94545,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-0000-2016-TNR,CA0010000,11/25/2016,2315,Hayward,Alameda County,CA,94541,TRUE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-01-0000-2016-UBJ,CA0010000,1/4/2016,2221,San Leandro,Alameda County,CA,94578,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-0000-2016-VDW,CA0010000,12/23/2016,2244,Dublin,Alameda County,CA,94568,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-01-0200-2016-UNF,CA0010200,6/25/2016,925,Albany,Alameda County,CA,94706,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-0500-2016-JDM,CA0010500,6/1/2016,1333,Fremont,Alameda County,CA,94538,TRUE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,4
URSUS-01-0500-2016-XHE,CA0010500,11/22/2016,105,Fremont,Alameda County,CA,94538,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-0600-2016-AKU,CA0010600,8/13/2016,1641,Hayward,Alameda County,CA,94544,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,4
URSUS-01-0600-2016-PTD,CA0010600,12/11/2016,2130,Hayward,Alameda County,CA,94545,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,1
URSUS-01-0600-2016-XKU,CA0010600,10/29/2016,2117,Hayward,Alameda County,CA,94544,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-01-0800-2016-DTE,CA0010800,1/31/2016,1508,Newark,Alameda County,CA,94560,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-01-0800-2016-YZT,CA0010800,3/11/2016,2152,Newark,Alameda County,CA,94560,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-01-1300-2016-HVM,CA0011300,1/18/2016,2220,Union City,Alameda County,CA,94587,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-01-1400-2016-NSE,CA0011400,12/13/2016,1641,Orinda,Alameda County,CA,94563,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-01-2100-2016-EDX,CA0012100,2/14/2016,2240,Hayward,Alameda County,CA,94541,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-04-0200-2016-DTH,CA0040200,9/4/2016,2148,Chico,Butte County,CA,95926,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-04-0200-2016-YTS,CA0040200,4/26/2016,1627,Chico,Butte County,CA,95928,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-04-0500-2016-CWM,CA0040500,1/2/2016,700,Paradise,Butte County,CA,95969,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-04-0500-2016-CYR,CA0040500,1/15/2016,1940,Paradise,Butte County,CA,95969,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-05-0000-2016-HUR,CA0050000,3/27/2016,1050,Railroad Flat,Calaveras County,CA,95245,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-05-0000-2016-WMV,CA0050000,10/5/2016,10,San Andreas,Calaveras County,CA,95249,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-0000-2016-BNX,CA0070000,4/11/2016,1909,Martinez,Contra Costa County,CA,94553,FALSE,FALSE,TRUE,TRUE,In Custody Event,Awaiting Booking,1,2
URSUS-07-0000-2016-ENW,CA0070000,6/30/2016,1640,San Pablo,Contra Costa County,CA,94806,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-07-0000-2016-HDY,CA0070000,3/17/2016,2206,Byron,Contra Costa County,CA,94514,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,3
URSUS-07-0000-2016-UQE,CA0070000,9/9/2016,2338,Pittsburg,Contra Costa County,CA,94565,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-0000-2016-YHS,CA0070000,7/1/2016,1957,San Ramon,Contra Costa County,CA,94582,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-0000-2016-ZRT,CA0070000,5/5/2016,938,Danville,Contra Costa County,CA,94526,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-0100-2016-JPY,CA0070100,5/4/2016,1752,Pittsburg,Contra Costa County,CA,94565,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-07-0100-2016-SUN,CA0070100,2/5/2016,312,Antioch,Contra Costa County,CA,94509,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-07-0100-2016-TZF,CA0070100,6/28/2016,233,Antioch,Contra Costa County,CA,94509,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-07-0100-2016-WYT,CA0070100,4/16/2016,12,Antioch,Contra Costa County,CA,94509,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-07-0400-2016-YPK,CA0070400,10/11/2016,1353,Concord,Contra Costa County,CA,94518,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-07-0800-2016-KYN,CA0070800,7/26/2016,1434,Pittsburg,Contra Costa County,CA,94565,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,2
URSUS-07-0800-2016-MGT,CA0070800,5/17/2016,2112,Pittsburg,Contra Costa County,CA,94565,FALSE,FALSE,TRUE,TRUE,Call for Service,,3,1
URSUS-07-0900-2016-FJF,CA0070900,4/1/2016,1903,Pleasant Hill,Contra Costa County,CA,94523,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,3
URSUS-07-0900-2016-GNF,CA0070900,2/25/2016,849,Pleasant Hill,Contra Costa County,CA,94523,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-07-0900-2016-VVT,CA0070900,8/27/2016,2117,Pleasant Hill,Contra Costa County,CA,94523,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,2
URSUS-07-1000-2016-FUS,CA0071000,5/3/2016,2150,Richmond,Contra Costa County,CA,94804,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-07-1000-2016-HRQ,CA0071000,3/23/2016,1954,Richmond,Contra Costa County,CA,94801,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-1000-2016-MTB,CA0071000,3/28/2016,111,Richmond,Contra Costa County,CA,94804,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-07-1000-2016-NNX,CA0071000,7/6/2016,1209,Richmond,Contra Costa County,CA,94801,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-1000-2016-TKM,CA0071000,5/22/2016,1801,Richmond,Contra Costa County,CA,94801,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,2,2
URSUS-07-1000-2016-UYW,CA0071000,12/15/2016,2116,Richmond,Contra Costa County,CA,94804,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-07-1000-2016-VBS,CA0071000,7/27/2016,1515,Richmond,Contra Costa County,CA,94801,TRUE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-1000-2016-VJP,CA0071000,4/23/2016,1434,Albany,Alameda County,CA,94706,TRUE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-1000-2016-YGG,CA0071000,10/9/2016,2331,Richmond,Contra Costa County,CA,94804,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-07-1000-2016-ZDK,CA0071000,4/13/2016,1706,Richmond,Contra Costa County,CA,94801,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-07-1200-2016-MKF,CA0071200,8/25/2016,2216,Walnut Creek,Contra Costa County,CA,94596,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-08-013G-2016-XKA,CA008013G,5/19/2016,2330,Gasquet,Del Norte County,CA,95543,FALSE,FALSE,FALSE,TRUE,In Custody Event,Other,1,1
URSUS-09-0000-2016-YEQ,CA0090000,11/18/2016,240,Cameron Park,El Dorado County,CA,95682,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0000-2016-APP,CA0100000,12/21/2016,725,Coalinga,Fresno County,CA,93210,FALSE,FALSE,FALSE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,1
URSUS-10-0000-2016-KQS,CA0100000,9/3/2016,839,Fresno,Fresno County,CA,93721,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-10-0000-2016-KZT,CA0100000,3/7/2016,2326,Fresno,Fresno County,CA,93722,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-10-0100-2016-RHF,CA0100100,1/6/2016,2114,Clovis,Fresno County,CA,93612,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0100-2016-WGX,CA0100100,7/7/2016,1151,Clovis,Fresno County,CA,93612,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,2
URSUS-10-0100-2016-ZVG,CA0100100,6/3/2016,631,Clovis,Fresno County,CA,93612,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-BXH,CA0100500,1/23/2016,1823,Fresno,Fresno County,CA,93705,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-DTD,CA0100500,4/10/2016,19,Fresno,Fresno County,CA,93704,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-10-0500-2016-EEE,CA0100500,3/12/2016,408,Fresno,Fresno County,CA,93727,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-ETH,CA0100500,3/21/2016,1750,Fresno,Fresno County,CA,93726,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-10-0500-2016-GXQ,CA0100500,1/27/2016,1144,Fresno,Fresno County,CA,93727,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,2,2
URSUS-10-0500-2016-HAQ,CA0100500,2/2/2016,1230,Fresno,Fresno County,CA,93703,FALSE,TRUE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-10-0500-2016-HMX,CA0100500,10/19/2016,1139,Fresno,Fresno County,CA,93725,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-10-0500-2016-JAD,CA0100500,6/25/2016,1520,Fresno,Fresno County,CA,93727,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,2
URSUS-10-0500-2016-JSM,CA0100500,1/12/2016,1600,Fresno,Fresno County,CA,93728,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-KFJ,CA0100500,10/9/2016,1610,Fresno,Fresno County,CA,93701,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-MDU,CA0100500,8/20/2016,2057,Fresno,Fresno County,CA,93706,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-NPA,CA0100500,2/26/2016,1714,Fresno,Fresno County,CA,93702,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-10-0500-2016-QGP,CA0100500,7/23/2016,2050,Fresno,Fresno County,CA,93725,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-10-0500-2016-SHW,CA0100500,3/23/2016,1548,Fresno,Fresno County,CA,93703,FALSE,FALSE,FALSE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-10-0500-2016-TTU,CA0100500,10/19/2016,1408,Fresno,Fresno County,CA,93727,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-10-0500-2016-WSJ,CA0100500,7/18/2016,1915,Fresno,Fresno County,CA,93728,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,3
URSUS-10-0500-2016-ZUT,CA0100500,2/19/2016,1142,Fresno,Fresno County,CA,93728,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-10-0600-2016-XHU,CA0100600,5/23/2016,2041,Huron,Fresno County,CA,93234,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-10-1100-2016-PAR,CA0101100,3/21/2016,16,Parlier,Fresno County,CA,93648,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-11-0100-2016-PAX,CA0110100,4/13/2016,1158,Orland,Glenn County,CA,95963,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-11-0100-2016-TBK,CA0110100,3/3/2016,1330,Orland,Glenn County,CA,95963,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-12-0000-2016-EWA,CA0120000,10/27/2016,337,Hoopa,Humboldt County,CA,95546,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-12-0000-2016-RKX,CA0120000,8/17/2016,902,McKinleyville,Humboldt County,CA,95519,TRUE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-12-0100-2016-DYT,CA0120100,5/18/2016,1843,Arcata,Humboldt County,CA,95521,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-12-0300-2016-CZA,CA0120300,12/6/2016,1651,Eureka,Humboldt County,CA,95501,TRUE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-13-0100-2016-MFA,CA0130100,7/5/2016,140,Brawley,Imperial County,CA,92227,FALSE,FALSE,TRUE,TRUE,In Custody Event,Awaiting Booking,1,1
URSUS-13-0100-2016-WJS,CA0130100,12/19/2016,721,Brawley,Imperial County,CA,92227,FALSE,FALSE,FALSE,TRUE,Welfare Check,,1,3
URSUS-14-0000-2016-YJV,CA0140000,8/26/2016,323,Bishop,Inyo County,CA,93514,FALSE,FALSE,TRUE,TRUE,Consensual Encounter / Public Contact / Flag Down,,1,1
URSUS-15-0000-2016-JWU,CA0150000,12/11/2016,2232,Tehachapi,Kern County,CA,93561,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-15-0000-2016-PYA,CA0150000,7/19/2016,15,Rosamond,Kern County,CA,93560,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-013G-2016-QHH,CA015013G,3/25/2016,740,Kernville,Kern County,CA,93238,FALSE,FALSE,FALSE,FALSE,In Custody Event,Sentenced,1,1
URSUS-15-0200-2016-APB,CA0150200,2/12/2016,1700,Bakersfield,Kern County,CA,93309,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-BJN,CA0150200,7/2/2016,918,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,3
URSUS-15-0200-2016-BMZ,CA0150200,6/25/2016,1356,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,2
URSUS-15-0200-2016-BRH,CA0150200,10/2/2016,2351,Bakersfield,Kern County,CA,93304,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-BYB,CA0150200,2/22/2016,928,Bakersfield,Kern County,CA,93301,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-15-0200-2016-CBX,CA0150200,2/5/2016,1258,Bakersfield,Kern County,CA,93304,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,3
URSUS-15-0200-2016-CEJ,CA0150200,3/31/2016,1100,Bakersfield,Kern County,CA,93313,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-15-0200-2016-CQP,CA0150200,8/18/2016,321,Bakersfield,Kern County,CA,93307,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,5
URSUS-15-0200-2016-CRQ,CA0150200,10/17/2016,1423,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-DCA,CA0150200,3/5/2016,940,Bakersfield,Kern County,CA,93304,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-15-0200-2016-DGR,CA0150200,5/3/2016,143,Bakersfield,Kern County,CA,93304,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-15-0200-2016-DXE,CA0150200,12/19/2016,2338,Bakersfield,Kern County,CA,93306,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-15-0200-2016-EGR,CA0150200,7/11/2016,513,Bakersfield,Kern County,CA,93305,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-GXJ,CA0150200,12/12/2016,37,Bakersfield,Kern County,CA,93313,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-15-0200-2016-HEH,CA0150200,4/19/2016,350,Bakersfield,Kern County,CA,93309,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-HMN,CA0150200,8/12/2016,1819,Bakersfield,Kern County,CA,93301,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-JBV,CA0150200,5/1/2016,1913,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-15-0200-2016-KSN,CA0150200,6/1/2016,944,Bakersfield,Kern County,CA,93308,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-15-0200-2016-NHS,CA0150200,9/25/2016,42,Bakersfield,Kern County,CA,93309,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-15-0200-2016-SYX,CA0150200,7/1/2016,1640,Bakersfield,Kern County,CA,93304,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,2
URSUS-15-0200-2016-SZM,CA0150200,9/7/2016,1643,Bakersfield,Kern County,CA,93309,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-15-0200-2016-TEE,CA0150200,4/24/2016,630,Bakersfield,Kern County,CA,93307,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,5
URSUS-15-0200-2016-TZN,CA0150200,2/24/2016,1243,Bakersfield,Kern County,CA,93301,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-15-0200-2016-VMK,CA0150200,2/9/2016,1551,Bakersfield,Kern County,CA,93305,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,5
URSUS-15-0200-2016-VYM,CA0150200,12/17/2016,215,Bakersfield,Kern County,CA,93313,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-15-0200-2016-WFP,CA0150200,12/21/2016,111,Bakersfield,Kern County,CA,93308,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-15-0200-2016-WRC,CA0150200,12/17/2016,2330,Bakersfield,Kern County,CA,93305,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-15-0200-2016-WVZ,CA0150200,2/9/2016,2055,Bakersfield,Kern County,CA,93314,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,2
URSUS-15-0200-2016-YVX,CA0150200,5/10/2016,1404,Bakersfield,Kern County,CA,93309,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-15-0300-2016-DMT,CA0150300,2/18/2016,2035,Delano,Kern County,CA,93215,FALSE,FALSE,TRUE,TRUE,In Custody Event,Awaiting Booking,1,3
URSUS-15-0700-2016-MAD,CA0150700,9/21/2016,142,Shafter,Kern County,CA,93263,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-15-0800-2016-TAK,CA0150800,12/15/2016,2229,Taft,Kern County,CA,93268,FALSE,FALSE,TRUE,TRUE,Call for Service,,2,3
URSUS-16-0000-2016-BKV,CA0160000,11/8/2016,741,Hanford,Kings County,CA,93230,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-16-0000-2016-FNQ,CA0160000,3/31/2016,1250,Stratford,Kings County,CA,93266,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-16-0000-2016-WDS,CA0160000,1/8/2016,1355,Hanford,Kings County,CA,93230,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-17-0200-2016-NEU,CA0170200,3/29/2016,20,Clearlake,Lake County,CA,95422,FALSE,FALSE,TRUE,TRUE,Civil Assembly,,1,1
URSUS-18-0100-2016-JHV,CA0180100,9/16/2016,428,Susanville,Lassen County,CA,96130,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-19-0000-2016-AJG,CA0190000,2/21/2016,340,Palmdale,Los Angeles County,CA,93550,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-19-0000-2016-AQC,CA0190000,1/14/2016,1945,Santa Clarita,Los Angeles County,CA,91351,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-19-0000-2016-BFQ,CA0190000,10/5/2016,1224,Lancaster,Los Angeles County,CA,93536,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-19-0000-2016-CFX,CA0190000,8/7/2016,1219,Lennox,Los Angeles County,CA,90304,FALSE,FALSE,TRUE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,1
URSUS-19-0000-2016-CMT,CA0190000,5/31/2016,19,Maywood,Los Angeles County,CA,90270,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,4
URSUS-19-0000-2016-DAY,CA0190000,4/27/2016,630,Los Angeles,Los Angeles County,CA,91345,FALSE,FALSE,TRUE,TRUE,In Custody Event,In Transit,1,4
URSUS-19-0000-2016-DBJ,CA0190000,12/15/2016,2300,Hacienda Heights,Los Angeles County,CA,91745,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,6
URSUS-19-0000-2016-DXN,CA0190000,2/14/2016,350,East Los Angeles,Los Angeles County,CA,90022,FALSE,FALSE,FALSE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-19-0000-2016-DZT,CA0190000,12/27/2016,1415,Compton,Los Angeles County,CA,90220,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
URSUS-19-0000-2016-EFK,CA0190000,3/30/2016,1221,Palmdale,Los Angeles County,CA,93551,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,5
URSUS-19-0000-2016-EMW,CA0190000,9/8/2016,1811,Lomita,Los Angeles County,CA,90717,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-19-0000-2016-EUT,CA0190000,2/10/2016,1153,Compton,Los Angeles County,CA,90221,FALSE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,3
URSUS-19-0000-2016-EXQ,CA0190000,10/7/2016,909,Norwalk,Los Angeles County,CA,90650,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,2
URSUS-19-0000-2016-GGH,CA0190000,3/4/2016,1521,Inglewood,Los Angeles County,CA,90304,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-19-0000-2016-HAP,CA0190000,12/6/2016,1950,Cudahy,Los Angeles County,CA,90201,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-19-0000-2016-HKJ,CA0190000,10/31/2016,1205,Chatsworth,Los Angeles County,CA,91311,FALSE,FALSE,FALSE,TRUE,Crime in Progress / Investigating Suspicious Persons or Circumstances,,1,2
URSUS-19-0000-2016-JHF,CA0190000,7/28/2016,529,Compton,Los Angeles County,CA,90222,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,2,4
URSUS-19-0000-2016-JNV,CA0190000,12/12/2016,2140,Los Angeles,Los Angeles County,CA,90044,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,2
URSUS-19-0000-2016-JPM,CA0190000,12/1/2016,1511,Paramount,Los Angeles County,CA,90723,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-19-0000-2016-JSC,CA0190000,8/1/2016,1636,Pico Rivera,Los Angeles County,CA,90660,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,4
URSUS-19-0000-2016-KKN,CA0190000,7/24/2016,330,South El Monte,Los Angeles County,CA,91733,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,3
URSUS-19-0000-2016-KVS,CA0190000,3/5/2016,2309,Los Angeles,Los Angeles County,CA,90044,FALSE,FALSE,TRUE,TRUE,Vehicle / Bike / Pedestrian Stop,,1,1
URSUS-19-0000-2016-KZB,CA0190000,8/22/2016,945,Hawaiian Gardens,Los Angeles County,CA,90716,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,2
URSUS-19-0000-2016-MAQ,CA0190000,6/23/2016,2249,Bellflower,Los Angeles County,CA,90706,TRUE,FALSE,TRUE,TRUE,"Pre-Planned Activity (arrest/search warrant, parole/probation search)",,1,10
URSUS-19-0000-2016-MDB,CA0190000,9/1/2016,1744,Los Angeles,Los Angeles County,CA,90001,FALSE,FALSE,FALSE,TRUE,Call for Service,,1,1
URSUS-19-0000-2016-MEM,CA0190000,1/4/2016,2151,Compton,Los Angeles County,CA,90220,FALSE,FALSE,TRUE,TRUE,Call for Service,,1,1
